% BSU Number ;% Gene_Name ;% number messenger  ;number protein;promoter_efficiency  (1/s);messenger degradation (1/s);rbs_eficiency (1/s);protein degradation (1/s)
BSU19980;yosW;0.33346;9.253;0.00048154;0.0014441;0.01372;0.00049444
BSU19990;yosV;1.0439;102.174;0.020352;0.019496;0.048394;0.00049444
BSU20000;yosU;0.048863;1.7936;0.00015584;0.0031892;0.01815;0.00049444
BSU20010;yosT;1.0556;118.6673;0.0024574;0.002328;0.055583;0.00049444
BSU20020;yosS;0.80631;29.0653;0.0011949;0.0014819;0.017823;0.00049444
BSU20030;yosR;0.88862;11.7938;0.0012832;0.0014441;0.0065623;0.00049444
BSU20040;yosP;2.5313;70.4921;0.02149;0.0084896;0.013769;0.00049444
BSU20050;yosQ;0.89417;26.5673;0.0012912;0.0014441;0.014691;0.00049444
BSU20060;yosN;0.68249;284.4676;0.00098959;0.00145;0.20609;0.00049444
BSU20070;yosM;0.54372;62.8401;0.00085619;0.0015747;0.057145;0.00049444
BSU20080;yosL;0.60043;34.9576;0.001246;0.0020752;0.028787;0.00049444
BSU20090;yosK;1.4504;34.7794;0.0020944;0.0014441;0.011857;0.00049444
BSU20100;yosJ;0.61216;36.7323;0.001114;0.0018198;0.029669;0.00049444
BSU20110;yosI;0.79501;20.9436;0.0017012;0.0021399;0.013026;0.00049444
BSU20120;yosH;1.0133;83.4184;0.0014632;0.0014441;0.040705;0.00049444
BSU20130;yosG;0.65008;79.0617;0.0011182;0.00172;0.060133;0.00049444
BSU20140;yosF;0.69947;28.74;0.0015363;0.0021964;0.020316;0.00049444
BSU20150;yosE;0.52127;27.4222;0.0011336;0.0021747;0.026011;0.00049444
BSU20160;yosD;0.61973;66.7477;0.0030819;0.0049729;0.053253;0.00049444
BSU20170;yosC;1.0055;164.7764;0.0014521;0.0014441;0.081024;0.00049444
BSU20180;yosB;0.6061;46.9668;0.0016424;0.0027099;0.038315;0.00049444
BSU20190;yosA;1.4789;106.8788;0.0023148;0.0015652;0.035733;0.00049444
BSU20200;yorZ;0.67165;7.8599;0.0024368;0.0036281;0.0057862;0.00049444
BSU20210;yorY;0.54279;323.5136;0.00078382;0.0014441;0.2947;0.00049444
BSU20220;yorX;0.58981;12.5534;0.00085171;0.0014441;0.010524;0.00049444
BSU20230;yorW;0.26289;5.2363;0.00038516;0.0014651;0.0098485;0.00049444
BSU20240;yorV;0.57126;12.2687;0.00082493;0.0014441;0.010619;0.00049444
BSU20250;mtbP;0.81184;384.371;0.0011723;0.0014441;0.2341;0.00049444
BSU20260;yorT;0.74984;84.6809;0.0010828;0.0014441;0.055839;0.00049444
BSU20270;yorS;0.34056;27.5134;0.0018649;0.0054761;0.039946;0.00049444
BSU20280;yorR;0.78846;4.3075;0.0011386;0.0014441;0.0027013;0.00049444
BSU20290;yorQ;0.67128;35.085;0.0092463;0.013774;0.025842;0.00049444
BSU20300;yorP;0.82693;3.5487;0.0044767;0.0054136;0.0021218;0.00049444
BSU20310;yorO;0.4718;46.1776;0.0014079;0.0029842;0.048394;0.00049444
BSU20320;yorN;1.9294;288.302;0.0027862;0.0014441;0.073882;0.00049444
BSU20330;yorM;0.66756;8.5473;0.00099064;0.001484;0.0063307;0.00049444
BSU20340;yorL;1.7259;46.7895;0.0024923;0.0014441;0.013405;0.00049444
BSU20350;yorK;0.51455;4.774;0.0078205;0.015199;0.0045875;0.00049444
BSU20360;yorJ;0.72026;24.9135;0.0010401;0.0014441;0.017103;0.00049444
BSU20370;yorI;0.62196;19.9702;0.0011278;0.0018134;0.015876;0.00049444
BSU20380;yorH;0.60733;26.8653;0.0040036;0.0065922;0.021872;0.00049444
BSU20390;yorG;0.81528;26.7264;0.0043084;0.0052845;0.016209;0.00049444
BSU20400;yorF;1.5085;176.7016;0.010191;0.0067559;0.057918;0.00049444
BSU20410;yorE;1.3236;19.1877;0.0019114;0.0014441;0.0071676;0.00049444
BSU20420;yorD;5.1311;230.5956;0.0082666;0.0016111;0.022221;0.00049444
BSU20430;yorC;0.33827;26.0339;0.003921;0.011592;0.038054;0.00049444
BSU20440;yorB;1.1386;3.9637;0.0016443;0.0014441;0.0017212;0.00049444
BSU20450;yorA;0.77173;18.5058;0.0014892;0.0019297;0.011857;0.00049444
BSU20460;yoqZ;0.71497;447.4103;0.0011515;0.0016105;0.30941;0.00049444
BSU20470;yoqY;0.25919;12.0453;0.0020667;0.0079738;0.022979;0.00049444
BSU20480;yoqX;0.29938;26.5519;0.00043232;0.0014441;0.043853;0.00049444
BSU20490;yoqW;0.39518;30.5035;0.0032159;0.0081379;0.038166;0.00049444
BSU20500;ligB;0.021895;0.30078;0.00050516;0.023072;0.0067924;0.00049444
BSU20510;yoqU;0.16632;5.2816;0.0027619;0.016606;0.015701;0.00049444
BSU20520;yoqT;0.022736;0.16224;0.00022372;0.0098397;0.0035282;0.00049444
BSU20530;yoqS;0.2598;23.4941;0.0018215;0.0070114;0.044714;0.00049444
BSU20540;yoqR;0.526;11.5169;0.0050059;0.0095169;0.010826;0.00049444
BSU20550;yoqP;0.81293;12.502;0.0011739;0.0014441;0.007604;0.00049444
BSU20560;yoqO;0.20019;12.9102;0.0027902;0.013938;0.031887;0.00049444
BSU20570;yoqN;0.22431;11.9895;0.00053964;0.0024058;0.026428;0.00049444
BSU20580;yoqM;0.15865;2.4102;0.00022909;0.0014441;0.0075118;0.00049444
BSU20590;yoqL;0.51688;31.7631;0.0043747;0.0084637;0.030384;0.00049444
BSU20600;yoqK;1.0267;49.9661;0.0088122;0.0085833;0.024064;0.00049444
BSU20610;yoqJ;0.67392;92.8122;0.0062309;0.0092457;0.068094;0.00049444
BSU20620;yoqI;0.27889;1.9973;0.001009;0.0036179;0.0035411;0.00049444
BSU20630;yoqH;0.5815;4.1494;0.0031131;0.0053535;0.0035282;0.00049444
BSU20640;yoqG;0.54951;21.3106;0.0045953;0.0083626;0.019175;0.00049444
BSU20650;yoqF;0.57947;67.8777;0.0022407;0.0038668;0.057918;0.00049444
BSU20660;yoqE;0.35424;5.7089;0.0033023;0.0093224;0.0079685;0.00049444
BSU20670;yoqD;0.53506;17.3175;0.003892;0.007274;0.016003;0.00049444
BSU20680;yoqC;0.37566;28.9969;0.0033486;0.0089139;0.038166;0.00049444
BSU20690;yoqB;0.36924;94.4398;0.0025651;0.0069471;0.12646;0.00049444
BSU20700;yoqA;0.47359;123.559;0.0041273;0.0087148;0.129;0.00049444
BSU20710;yopZ;1.1827;81.3303;0.0017079;0.0014441;0.034;0.00049444
BSU20720;yopY;0.88168;23.004;0.0012732;0.0014441;0.012901;0.00049444
BSU20730;yopX;0.69079;9.5781;0.0079712;0.011539;0.0068557;0.00049444
BSU20740;yopW;0.27347;68.2486;0.0020014;0.0073186;0.1234;0.00049444
BSU20750;yopV;0.33484;27.8032;0.0056349;0.016829;0.041056;0.00049444
BSU20760;yopU;0.25774;9.2907;0.0037836;0.01468;0.017823;0.00049444
BSU20770;yopT;1.5824;27.5816;0.032647;0.020632;0.0086184;0.00049444
BSU20780;yopS;0.13382;2.74;0.00082602;0.0061727;0.010124;0.00049444
BSU20790;yopR;1.7896;102.7997;0.018777;0.010492;0.028402;0.00049444
BSU20800;yopQ;3.1413;58.4761;0.037523;0.011945;0.0092042;0.00049444
BSU20810;yopP;1.3621;27.608;0.010352;0.0075997;0.010021;0.00049444
BSU20820;yopO;1.5613;85.6827;0.013428;0.0086007;0.027135;0.00049444
BSU20830;yopN;0.9185;17.9068;0.0071855;0.0078231;0.0096395;0.00049444
BSU20840;yopM;0.97287;16.8023;0.0079981;0.0082212;0.0085395;0.00049444
BSU20850;yopL;8.5351;662.8824;0.012325;0.0014441;0.038401;0.00049444
BSU20860;yopK;0.19796;15.28;0.0026753;0.013514;0.038166;0.00049444
BSU20870;yopJ;0.52419;83.3553;0.0055765;0.010638;0.078625;0.00049444
BSU20880;yopI;1.9063;64.0889;0.018904;0.0099168;0.016623;0.00049444
BSU20890;yopH;1.2363;15.8179;0.012956;0.01048;0.0063264;0.00049444
BSU20900;yopG;2.2414;14.9959;0.024213;0.010803;0.0033081;0.00049444
BSU20910;yopF;1.1617;29.2858;0.014952;0.012871;0.012465;0.00049444
BSU20920;yopE;1.5723;66.6502;0.030984;0.019707;0.02096;0.00049444
BSU20930;yopD;1.9328;54.3677;0.038257;0.019794;0.013909;0.00049444
BSU20940;yopC;1.9291;34.6081;0.038589;0.020003;0.0088702;0.00049444
BSU20950;yopB;0.096427;1.4455;0.00072188;0.0074863;0.0074122;0.00049444
BSU20960;yopA;0.5243;1.569;0.0077859;0.01485;0.0014797;0.00049444
BSU20970;yonX;0.34829;111.1062;0.00056921;0.0016343;0.15773;0.00049444
BSU20980;yonV;0.081692;4.1458;0.00083265;0.010192;0.025092;0.00049444
BSU20990;yonU;2.3587;109.4638;0.01162;0.0049265;0.022946;0.00049444
BSU21000;yonT;0.2626;10.5176;0.003126;0.011904;0.019803;0.00049444
BSU21010;yonS;8.6083;107.2836;0.14869;0.017273;0.0061622;0.00049444
BSU21020;yonR;1.2448;1979.4975;0.042868;0.034437;0.78626;0.00049444
BSU21030;yonP;0.438;43.5727;0.013114;0.029941;0.049187;0.00049444
BSU21040;yonO;0.48633;1.6531;0.00070228;0.0014441;0.0016807;0.00049444
BSU21050;yonN;2.7894;4433.1567;0.0040281;0.0014441;0.7858;0.00049444
BSU21060;yonK;0.56352;37.4665;0.00081376;0.0014441;0.032874;0.00049444
BSU21070;yonJ;2.046;20.5246;0.0029545;0.0014441;0.0049601;0.00049444
BSU21080;yonI;0.32248;72.2597;0.001159;0.0035939;0.11079;0.00049444
BSU21090;yonH;0.98516;12.1796;0.0014226;0.0014441;0.0061129;0.00049444
BSU21100;yonG;0.22156;4.4906;0.00031994;0.0014441;0.010021;0.00049444
BSU21110;yonF;0.65187;33.039;0.00094134;0.0014441;0.02506;0.00049444
BSU21120;yonE;0.75679;41.5334;0.0010929;0.0014441;0.027135;0.00049444
BSU21130;yonD;3.3797;542.2196;0.0048805;0.0014441;0.079326;0.00049444
BSU21140;yonC;3.4589;171.2848;0.0049948;0.0014441;0.024485;0.00049444
BSU21150;yonB;3.5019;1745.335;0.0050569;0.0014441;0.24643;0.00049444
BSU21160;yonA;1.658;6.9419;0.0023943;0.0014441;0.0020701;0.00049444
BSU21170;yomZ;1.7397;190.6154;0.0025122;0.0014441;0.054175;0.00049444
BSU21180;yomY;3.3928;392.7605;0.0048993;0.0014441;0.057239;0.00049444
BSU21190;yomX;3.7256;212.9191;0.0053799;0.0014441;0.028258;0.00049444
BSU21200;yomW;2.887;27.4288;0.004169;0.0014441;0.0046976;0.00049444
BSU21210;yomV;1.5449;30.6015;0.0022309;0.0014441;0.009794;0.00049444
BSU21220;yomU;2.2751;36.0398;0.0032854;0.0014441;0.0078324;0.00049444
BSU21230;yomT;1.8794;271.5778;0.002714;0.0014441;0.071448;0.00049444
BSU21240;yomS;1.3309;88.3281;0.0019219;0.0014441;0.032815;0.00049444
BSU21250;yomR;1.8589;29.4391;0.0026843;0.0014441;0.0078306;0.00049444
BSU21260;yomQ;2.402;72.5553;0.0034687;0.0014441;0.014935;0.00049444
BSU21270;yomP;1.4024;9.6588;0.0020251;0.0014441;0.0034055;0.00049444
BSU21280;yomO;1.6007;29.4025;0.0023116;0.0014441;0.0090819;0.00049444
BSU21290;yomN;2.2768;1.6532;0.0032878;0.0014441;0.00035902;0.00049444
BSU21300;yomM;1.952;400.5778;0.0028188;0.0014441;0.10147;0.00049444
BSU21310;yozP;0.23174;73.0326;0.015767;0.068034;0.15582;0.00049444
BSU21320;yomL;1.6241;24.9766;0.0050196;0.0030908;0.007604;0.00049444
BSU21330;yomK;1.2327;61.3028;0.0090668;0.0073555;0.02459;0.00049444
BSU21340;yomJ;2.0583;184.4959;0.031042;0.015081;0.044319;0.00049444
BSU21350;yomI;0.63344;10.2085;0.014636;0.023105;0.0079685;0.00049444
BSU21360;yomH;0.51885;76.8024;0.00074925;0.0014441;0.07319;0.00049444
BSU21370;yomG;0.69109;69.0624;0.0030856;0.0044649;0.049411;0.00049444
BSU21380;yomF;0.41467;27.0115;0.00059881;0.0014441;0.032208;0.00049444
BSU21390;yomE;0.47577;12.8982;0.00068703;0.0014441;0.013405;0.00049444
BSU21400;yomD;0.48836;1205.0077;0.00070522;0.0014441;1.22;0.00049444
BSU21410;blyA;0.46771;42.0053;0.0006754;0.0014441;0.044407;0.00049444
BSU21420;bhlA;0.17532;1.173;0.00025318;0.0014441;0.0033081;0.00049444
BSU21430;bhlB;0.18456;4.0786;0.00026652;0.0014441;0.010927;0.00049444
BSU21440;bdbB;1.375;56.6225;0.012771;0.0092885;0.020362;0.00049444
BSU21450;yolJ;2.418;476.366;0.014343;0.0059318;0.09741;0.00049444
BSU21460;bdbA;2.0448;646.0811;0.012025;0.0058808;0.15623;0.00049444
BSU21470;sunT;4.0314;269.0052;0.024535;0.0060858;0.032993;0.00049444
BSU21480;sunA;10.5962;45240.6986;0.065769;0.0062068;2.111;0.00049444
BSU21490;yolF;2.7148;380.9187;0.01308;0.0048182;0.069376;0.00049444
BSU21500;uvrX;0.3537;108.4439;0.00051077;0.0014441;0.15159;0.00049444
BSU21510;yolD;0.014253;8.9393;0.0001121;0.0078649;0.3101;0.00049444
BSU21520;yolC;0.085034;3.3694;0.00037313;0.004388;0.019592;0.00049444
BSU21530;yolB;18.075;620.5271;0.026101;0.0014441;0.016975;0.00049444
BSU21540;yolA;37.774;7037.9004;0.058829;0.0015574;0.092123;0.00049444
BSU21550;yokL;2.1679;9.7853;0.022096;0.010192;0.0022318;0.00049444
BSU21560;yokK;1.8394;14.7809;0.022232;0.012087;0.0039733;0.00049444
BSU21570;yokJ;2.5299;86.6973;0.027238;0.010766;0.016944;0.00049444
BSU21580;yokI;2.5846;1.58;0.035859;0.013874;0.00030227;0.00049444
BSU21590;yokH;1.1215;37.5046;0.005697;0.0050796;0.016534;0.00049444
BSU21600;yokG;7.8826;628.6987;0.039684;0.0050343;0.039436;0.00049444
BSU21610;yokF;2.3242;76.9198;0.0089895;0.0038678;0.016364;0.00049444
BSU21620;yokE;1.4458;61.2481;0.0066369;0.0045904;0.020946;0.00049444
BSU21630;yokD;0.66637;43.8438;0.0088413;0.013268;0.032532;0.00049444
BSU21640;yokC;0.54434;101.4195;0.011957;0.021966;0.092123;0.00049444
BSU21650;yokB;0.73586;57.0223;0.011712;0.015917;0.038315;0.00049444
BSU21660;yokA;0.96096;23.438;0.007208;0.0075009;0.01206;0.00049444
BSU21680;yppQ;1.2088;23.7922;0.0060734;0.0050245;0.0097323;0.00049444
BSU21690;msrA;2.0761;200.0031;0.012311;0.0059298;0.047634;0.00049444
BSU21700;ypoP;0.40006;236.2575;0.01635;0.04087;0.292;0.00049444
BSU21710;ypnP;0.38261;94.276;0.0036797;0.0096173;0.12183;0.00049444
BSU21720;ypmT;1.5617;318.2752;0.014241;0.0091188;0.10077;0.00049444
BSU21730;ypmS;2.1238;32.7309;0.022446;0.010569;0.0076201;0.00049444
BSU21740;ypmR;2.6083;770.2283;0.028481;0.010919;0.14601;0.00049444
BSU21750;ypmQ;3.0305;433.9814;0.02687;0.0088666;0.070807;0.00049444
BSU21760;ypmP;7.8181;288.3605;0.04108;0.0052544;0.018237;0.00049444
BSU21770;ilvA;13.7849;436.2619;0.09455;0.0068589;0.015648;0.00049444
BSU21780;yplP;1.0067;312.6363;0.014065;0.013972;0.15356;0.00049444
BSU21790;yplQ;1.1008;2.0295;0.011978;0.010881;0.00091157;0.00049444
BSU21800;ypkP;2.1564;1048.3378;0.020204;0.0093697;0.24038;0.00049444
BSU21810;dfrA;3.202;53.4433;0.033678;0.010518;0.0082526;0.00049444
BSU21820;thyB;2.5998;263.872;0.031603;0.012156;0.050185;0.00049444
BSU21830;ypjQ;3.5732;120.9665;0.045006;0.012595;0.016739;0.00049444
BSU21840;ypjP;6.3107;9.2643;0.088984;0.014101;0.00072586;0.00049444
BSU21850;ypiP;0.76229;35.4264;0.0030148;0.003955;0.022979;0.00049444
BSU21860;yphP;5.1081;979.8306;0.021532;0.0042152;0.094844;0.00049444
BSU21870;ilvD;15.1699;352.8263;0.13311;0.0087744;0.0115;0.00049444
BSU21880;ypgR;3.8727;514.6189;0.029116;0.0075184;0.065704;0.00049444
BSU21890;ypgQ;1.985;27.5229;0.011317;0.0057012;0.0068557;0.00049444
BSU21900;bsaA;1.3463;46.4892;0.0070398;0.0052289;0.017074;0.00049444
BSU21910;metA;3.4134;263.6203;0.043885;0.012857;0.038187;0.00049444
BSU21920;ugtP;3.2711;1030.8661;0.046576;0.014238;0.15582;0.00049444
BSU21930;cspD;90.2355;5699.3228;0.13031;0.0014441;0.031229;0.00049444
BSU21940;degR;0.73148;36.2595;0.0059629;0.0081518;0.02451;0.00049444
BSU21950;ypzA;0.23325;16.1635;0.002501;0.010723;0.034264;0.00049444
BSU21960;ypeQ;0.16378;5.5061;0.0020935;0.012783;0.016623;0.00049444
BSU21970;ypeP;0.69091;10.668;0.0099532;0.014406;0.0076345;0.00049444
BSU21980;ypdP;1.0304;102.9663;0.015161;0.014715;0.049411;0.00049444
BSU21990;ypdQ;1.7023;137.7829;0.019911;0.011697;0.040021;0.00049444
BSU22000;sspL;1.5511;82.9088;0.016514;0.010646;0.026428;0.00049444
BSU22010;ypcP;0.46324;127.3425;0.014618;0.031555;0.13592;0.00049444
BSU22020;ypbS;3.2838;867.378;0.030501;0.0092881;0.1306;0.00049444
BSU22030;ypbR;2.0591;134.3838;0.022835;0.01109;0.032269;0.00049444
BSU22040;ypbQ;0.010184;0.68999;2.3404e-05;0.0022981;0.033499;0.00049444
BSU22050;bcsA;0.10572;6.1107;0.0011115;0.010514;0.02858;0.00049444
BSU22060;pbuX;4.1987;515.7815;0.027748;0.0066087;0.060739;0.00049444
BSU22070;xpt;11.233;3172.894;0.083694;0.0074507;0.13966;0.00049444
BSU22080;ypwA;3.0311;324.0698;0.0099459;0.0032813;0.052864;0.00049444
BSU22090;kdgT;0.043243;0.14849;0.0001853;0.0042851;0.0016978;0.00049444
BSU22100;kdgA;0.12323;7.9484;0.00058224;0.0047248;0.031892;0.00049444
BSU22110;kdgK;0.37551;7.689;0.003965;0.010559;0.010124;0.00049444
BSU22120;kdgR;1.1505;2.1395;0.024103;0.02095;0.00091947;0.00049444
BSU22130;kduI;1.5763;75.0218;0.002467;0.001565;0.023532;0.00049444
BSU22140;kduD;0.61216;300.9494;0.00096544;0.0015771;0.24308;0.00049444
BSU22150;ypvA;1.8106;178.4524;0.012236;0.0067581;0.048732;0.00049444
BSU22160;yptA;0.62472;45.5065;0.0055057;0.008813;0.036017;0.00049444
BSU22170;ypsC;2.1196;303.3388;0.024584;0.011598;0.07076;0.00049444
BSU22180;ypsB;5.3396;129.0172;0.045944;0.0086044;0.011947;0.00049444
BSU22190;ypsA;2.8877;66.2544;0.026693;0.0092436;0.011344;0.00049444
BSU22200;cotD;14.8233;457.3989;0.11365;0.0076669;0.015257;0.00049444
BSU22210;yprB;2.2721;2.7956;0.017111;0.0075308;0.00060835;0.00049444
BSU22220;yprA;1.7385;26.8437;0.01626;0.0093526;0.0076345;0.00049444
BSU22230;ypqE;8.6542;471.1379;0.037535;0.0043373;0.026918;0.00049444
BSU22240;ypqA;0.0058516;0.21127;1.0179e-05;0.0017395;0.017852;0.00049444
BSU22250;yppG;0.016757;0.59856;0.0003;0.017902;0.017661;0.00049444
BSU22260;yppF;1.9075;116.0129;0.0027545;0.0014441;0.030072;0.00049444
BSU22270;yppE;0.64775;10.8113;0.002125;0.0032806;0.0082526;0.00049444
BSU22280;yppD;0.070046;2.0701;0.00016524;0.002359;0.014612;0.00049444
BSU22290;sspM;0.0057236;0.15784;1.2594e-05;0.0022003;0.013635;0.00049444
BSU22300;yppC;0.057675;196.4384;0.00071636;0.012421;1.684;0.00049444
BSU22310;recU;3.9537;319.9528;0.037142;0.0093943;0.040013;0.00049444
BSU22320;ponA;9.4867;509.6384;0.073622;0.0077606;0.026562;0.00049444
BSU22330;ypoC;2.0593;31.2855;0.0074287;0.0036074;0.0075118;0.00049444
BSU22340;nth;2.0778;91.4362;0.0075671;0.0036419;0.021759;0.00049444
BSU22350;dnaD;3.7553;165.2621;0.014098;0.0037543;0.021759;0.00049444
BSU22360;asnS;12.0428;3372.0884;0.043061;0.0035757;0.13845;0.00049444
BSU22370;aspB;29.5026;4856.6396;0.066461;0.0022527;0.081394;0.00049444
BSU22380;ypmB;41.4588;780.0488;0.07179;0.0017316;0.009303;0.00049444
BSU22390;ypmA;11.6507;907.4342;0.055918;0.0047996;0.038511;0.00049444
BSU22400;dinG;6.6355;2081.2244;0.034571;0.00521;0.15508;0.00049444
BSU22410;panD;2.1748;57.2926;0.0079728;0.003666;0.013026;0.00049444
BSU22420;panC;5.4956;561.1796;0.019756;0.0035949;0.05049;0.00049444
BSU22430;panB;10.581;687.1554;0.038243;0.0036144;0.03211;0.00049444
BSU22440;birA;6.7636;711.9687;0.044445;0.0065713;0.052048;0.00049444
BSU22450;cca;4.9195;119.6418;0.028673;0.0058283;0.012025;0.00049444
BSU22460;ypjH;6.4102;1282.8921;0.036224;0.005651;0.098955;0.00049444
BSU22470;ypjG;4.3574;157.0711;0.025486;0.0058488;0.017823;0.00049444
BSU22480;mgsA;3.675;271.1894;0.019852;0.0054019;0.036487;0.00049444
BSU22490;dapB;5.8482;441.773;0.027496;0.0047016;0.03735;0.00049444
BSU22500;ypjD;5.3577;807.9019;0.023602;0.0044052;0.074559;0.00049444
BSU22510;ypjC;0.6941;28.0145;0.010248;0.014765;0.019956;0.00049444
BSU22520;ypjB;0.9759;63.4146;0.011821;0.012113;0.032129;0.00049444
BSU22530;ypjA;1.0665;116.1977;0.011501;0.010784;0.05387;0.00049444
BSU22540;qcrC;4.7583;464.3078;0.017234;0.0036218;0.048247;0.00049444
BSU22550;qcrB;6.4917;945.7287;0.036854;0.0056772;0.072032;0.00049444
BSU22560;qcrA;8.0772;1373.0954;0.040443;0.005007;0.084054;0.00049444
BSU22570;ypiF;1.4039;9.9062;0.0080571;0.0057392;0.0034889;0.00049444
BSU22580;ypiB;4.9808;446.6507;0.027835;0.0055884;0.044339;0.00049444
BSU22590;ypiA;2.94;164.2909;0.01808;0.0061496;0.02763;0.00049444
BSU22600;aroE;23.0704;2095.1182;0.10944;0.0047439;0.044902;0.00049444
BSU22610;tyrA;24.7864;317.6994;0.17098;0.0068981;0.0063375;0.00049444
BSU22620;hisC;18.849;1522.3979;0.13955;0.0074035;0.039935;0.00049444
BSU22630;trpA;26.9772;690.4463;0.19761;0.0073251;0.012655;0.00049444
BSU22640;trpB;11.3435;953.3608;0.0699;0.0061621;0.041556;0.00049444
BSU22650;trpF;9.2711;301.7932;0.065883;0.0071063;0.016095;0.00049444
BSU22660;trpC;2.6569;200.1429;0.026074;0.0098135;0.037246;0.00049444
BSU22670;trpD;7.2872;247.5807;0.062817;0.0086202;0.016799;0.00049444
BSU22680;trpE;6.7024;433.4612;0.086509;0.012907;0.031977;0.00049444
BSU22690;aroH;25.6165;368.6253;0.2255;0.0088028;0.0071151;0.00049444
BSU22700;aroB;25.3683;409.0958;0.21881;0.0086253;0.0079735;0.00049444
BSU22710;aroF;20.3918;1549.3698;0.2189;0.010735;0.037568;0.00049444
BSU22720;cheR;5.4917;195.047;0.060786;0.011069;0.017561;0.00049444
BSU22730;ndk;5.4303;797.2981;0.041583;0.0076576;0.072596;0.00049444
BSU22740;hepT;8.7118;79.6135;0.092542;0.010623;0.0045185;0.00049444
BSU22750;menH;6.4273;148.6958;0.066477;0.010343;0.011439;0.00049444
BSU22760;hepS;8.5095;95.2422;0.075529;0.0088759;0.0055341;0.00049444
BSU22770;mtrB;7.7865;252.697;0.044268;0.0056852;0.016046;0.00049444
BSU22780;mtrA;8.6861;289.1928;0.046467;0.0053496;0.016462;0.00049444
BSU22790;hbs;4.6299;18704.0361;0.0066859;0.0014441;1.9975;0.00049444
BSU22800;spoIVA;0.12614;10.6086;0.0021054;0.016691;0.041582;0.00049444
BSU22810;yphF;4.3923;78.549;0.05054;0.011507;0.0088424;0.00049444
BSU22820;yphE;3.6134;188.1738;0.051263;0.014187;0.025749;0.00049444
BSU22830;gpsA;6.6655;562.6283;0.038691;0.0058046;0.041736;0.00049444
BSU22840;yphC;5.5093;751.9668;0.034292;0.0062244;0.067486;0.00049444
BSU22850;seaA;0.34786;25.5829;0.0021661;0.006227;0.036363;0.00049444
BSU22860;yphA;0.39395;8.9415;0.0023932;0.0060749;0.011222;0.00049444
BSU22870;ypgA;3.2748;230.4828;0.018482;0.0056438;0.034799;0.00049444
BSU22880;ypfD;18.281;5486.5549;0.092189;0.0050429;0.14839;0.00049444
BSU22890;cmk;5.9515;1087.3682;0.07574;0.012726;0.090338;0.00049444
BSU22900;ypfB;2.1489;169.3727;0.03001;0.013965;0.038971;0.00049444
BSU22910;ypfA;1.7845;53.0212;0.033199;0.018604;0.014691;0.00049444
BSU22920;ypeB;0.060925;11.5409;0.00073711;0.012099;0.093661;0.00049444
BSU22930;sleB;0.026458;2.8631;0.00026444;0.0099949;0.053506;0.00049444
BSU22940;ypdC;1.5743;7.5047;0.01918;0.012183;0.002357;0.00049444
BSU22950;ypdA;3.3763;205.0883;0.020184;0.005978;0.030034;0.00049444
BSU22960;gudB;6.7506;335.5476;0.010594;0.0015693;0.024577;0.00049444
BSU22970;ypbH;2.002;180.5458;0.01734;0.0086614;0.04459;0.00049444
BSU22980;ypbG;0.68529;16.3515;0.0044405;0.0064797;0.011798;0.00049444
BSU22990;ypbF;1.1234;4.7033;0.013712;0.012206;0.0020701;0.00049444
BSU23000;ypbE;8.1286;19.6818;0.07021;0.0086374;0.0011972;0.00049444
BSU23010;ypbD;4.4264;466.1464;0.053068;0.011989;0.05207;0.00049444
BSU23020;recQ;2.5882;14.4701;0.034202;0.013215;0.0027644;0.00049444
BSU23030;ypbB;1.8219;31.1689;0.025702;0.014107;0.0084589;0.00049444
BSU23040;fer;2.6032;40.0344;0.0081919;0.0031469;0.007604;0.00049444
BSU23050;ypaA;1.0702;361.0678;0.032675;0.030532;0.16682;0.00049444
BSU23060;ypzE;2.5533;385.0258;0.043672;0.017104;0.074559;0.00049444
BSU23070;serA;53.0151;6105.6871;0.21053;0.0039712;0.056945;0.00049444
BSU23080;aroC;2.6337;194.8299;0.024233;0.009201;0.036577;0.00049444
BSU23090;rsiX;1.1237;35.5196;0.040621;0.036149;0.015629;0.00049444
BSU23100;sigX;1.7969;78.5454;0.059625;0.033182;0.021613;0.00049444
BSU23110;resE;3.7987;249.9826;0.020902;0.0055026;0.032538;0.00049444
BSU23120;resD;3.7391;640.7995;0.02094;0.0056004;0.084737;0.00049444
BSU23130;resC;3.0388;15.4572;0.018238;0.0060017;0.0025151;0.00049444
BSU23140;resB;2.7223;19.8766;0.017648;0.0064827;0.0036101;0.00049444
BSU23150;resA;3.5326;234.7858;0.028153;0.0079696;0.032862;0.00049444
BSU23160;rluB;3.0552;187.1428;0.026905;0.0088062;0.030286;0.00049444
BSU23170;spmB;0.039264;8.1673;0.00044709;0.011387;0.10285;0.00049444
BSU23180;spmA;0.069027;3.1304;0.0011581;0.016777;0.022423;0.00049444
BSU23190;dacB;0.17168;15.7078;0.0030378;0.017695;0.04524;0.00049444
BSU23200;ypuI;0.67986;11.3821;0.011367;0.016719;0.0082779;0.00049444
BSU23210;ypuH;3.4536;36.2248;0.069616;0.020158;0.0051863;0.00049444
BSU23220;ypuG;3.0883;361.1906;0.096746;0.031327;0.057828;0.00049444
BSU23230;ypuF;0.38695;3.6611;0.0062907;0.016257;0.0046781;0.00049444
BSU23240;ribT;4.3283;178.3475;0.032561;0.0075227;0.020373;0.00049444
